symbol,window,validation_start,training_start,training_end,selection_status,selection_reason,selected_profile_id,candidate_profile_id,selected,strategy_params,eligible,total_return_pct,max_drawdown_pct,total_trades,average_capital_utilization_pct
2308.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,25.9,4.34,6.0,13.82
2308.TW,8,2022-01-05,2019-12-11,2022-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,14.73,6.3,8.0,9.21
2308.TW,8,2022-01-05,2019-12-11,2022-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,27.86,10.06,8.0,15.33
2308.TW,9,2023-01-05,2020-12-14,2023-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-0.78,6.55,9.0,6.73
2308.TW,9,2023-01-05,2020-12-14,2023-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-0.84,10.2,9.0,10.96
2308.TW,10,2024-01-05,2021-12-09,2024-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,1.89,3.46,6.0,7.89
2308.TW,10,2024-01-05,2021-12-09,2024-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,2.79,5.72,6.0,12.06
2308.TW,11,2025-01-06,2022-12-02,2025-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,8.28,13.52,8.0,13.36
2308.TW,11,2025-01-06,2022-12-02,2025-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,5.58,13.63,8.0,17.25
2308.TW,12,2026-01-05,2023-12-05,2026-01-02,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,49.12,13.32,6.0,17.69
2308.TW,12,2026-01-05,2023-12-05,2026-01-02,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,58.88,13.67,6.0,21.16
2881.TW,1,2015-01-05,,,fallback,insufficient_pre_validation_training_data,legacy,,True,,,,,,
2881.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.06,4.13,7.0,6.46
2881.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-1.68,6.92,7.0,10.93
2881.TW,3,2017-01-05,2014-12-09,2017-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,2.01,4.82,7.0,6.12
2881.TW,3,2017-01-05,2014-12-09,2017-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,3.66,8.12,7.0,10.35
