symbol,regime,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days
2308.TW,sideways,buy_and_hold,available,2,2,-19.4217,30.7702,-0.2219,2,0.0,107910.21,37854231.65,100.0,99.42,490
2308.TW,sideways,sma_8_21,available,2,2,-50.0088,31.0585,-1.6451,17,17.65,829222.88,286073810.04,43.67,43.3,490
2881.TW,bull,tu_strategy,available,9,9,8.0887,5.25,-0.2133,37,35.14,520135.97,177109530.59,34.56,7.5,2072
2881.TW,bull,adaptive_tu_strategy,available,9,9,9.2888,5.89,-0.1833,37,35.14,639364.69,217722820.93,34.56,9.0,2072
2881.TW,bull,buy_and_hold,available,9,9,629.0625,26.0517,1.1853,9,100.0,634553.93,204139087.83,100.0,99.73,2072
2881.TW,bull,sma_8_21,available,9,9,127.334,18.1738,0.4561,62,46.77,3827453.31,1301305975.93,62.98,62.85,2072
2881.TW,bear,tu_strategy,available,1,1,-3.63,3.99,-2.47,2,0.0,39712.98,13742873.69,8.54,2.29,246
2881.TW,bear,adaptive_tu_strategy,available,1,1,-5.88,6.49,-2.61,2,0.0,56641.2,19636819.17,8.54,3.59,246
2881.TW,bear,buy_and_hold,available,1,1,-15.7411,34.0735,-0.6052,1,0.0,51539.55,18401166.68,100.0,99.72,246
2881.TW,bear,sma_8_21,available,1,1,6.7787,12.6281,0.5307,6,66.67,352001.45,119814238.88,41.46,41.37,246
2881.TW,sideways,tu_strategy,available,2,2,-4.0779,4.37,-0.975,10,10.0,132387.76,45403269.03,25.11,5.42,490
2881.TW,sideways,adaptive_tu_strategy,available,2,2,-6.5917,7.52,-0.97,10,10.0,173484.95,59562324.05,25.11,6.97,490
2881.TW,sideways,buy_and_hold,available,2,2,-17.9988,33.263,-0.3886,2,0.0,108855.47,38128493.46,100.0,99.92,490
2881.TW,sideways,sma_8_21,available,2,2,-2.4906,18.8953,-0.2535,13,30.77,768424.51,262337214.5,49.59,49.55,490
2882.TW,bull,tu_strategy,available,9,9,10.0807,5.94,0.1089,35,40.0,496741.49,169049160.32,32.96,7.33,2072
2882.TW,bull,adaptive_tu_strategy,available,9,9,10.6931,8.32,0.1311,35,40.0,624519.12,212629522.24,32.96,9.28,2072
2882.TW,bull,buy_and_hold,available,9,9,521.1143,28.3806,1.0514,9,88.89,623192.88,201664518.79,100.0,99.86,2072
2882.TW,bull,sma_8_21,available,9,9,104.3738,19.8528,0.3597,64,46.88,3880302.43,1320005140.26,60.38,60.26,2072
2882.TW,bear,tu_strategy,available,1,1,1.22,1.46,0.48,1,100.0,29729.75,10086208.05,8.54,2.6,246
2882.TW,bear,adaptive_tu_strategy,available,1,1,1.75,2.57,0.49,1,100.0,38625.03,13095475.92,8.54,3.91,246
2882.TW,bear,buy_and_hold,available,1,1,-29.6698,41.8908,-1.3742,1,0.0,45441.58,17033808.41,100.0,99.9,246
2882.TW,bear,sma_8_21,available,1,1,-0.8566,14.0034,0.0,6,33.33,350281.2,119618556.28,41.46,41.39,246
2882.TW,sideways,tu_strategy,available,2,2,-2.1067,2.63,-0.91,6,16.67,68726.85,23568974.55,19.79,4.01,490
2882.TW,sideways,adaptive_tu_strategy,available,2,2,-3.8716,4.57,-0.91,6,16.67,101967.66,35006497.07,19.79,5.35,490
2882.TW,sideways,buy_and_hold,available,2,2,-22.4812,23.6547,-0.5379,2,0.0,106592.64,37602021.86,100.0,99.8,490
2882.TW,sideways,sma_8_21,available,2,2,-29.8997,25.0319,-1.4013,19,15.79,1057392.73,362598388.08,51.64,51.53,490
1301.TW,bull,tu_strategy,available,9,9,-10.1494,17.49,-0.07,25,36.0,464439.78,159043416.64,24.84,6.35,2073
1301.TW,bull,adaptive_tu_strategy,available,9,9,-11.4093,17.49,-0.07,25,36.0,498268.61,170661910.48,24.84,6.85,2073
1301.TW,bull,buy_and_hold,available,9,9,19.0518,55.0533,0.2225,9,66.67,551390.46,185348199.04,100.0,99.68,2073
1301.TW,bull,sma_8_21,available,9,9,-50.9611,45.7934,-0.4362,65,30.77,3513197.1,1201885225.08,54.99,54.81,2073
