symbol,date,open,high,low,close,volume
^TWII,2020-05-12,10974.509765625,10974.509765625,10854.509765625,10879.4697265625,3047800
^TWII,2020-05-13,10861.009765625,10938.26953125,10828.9296875,10938.26953125,2677400
^TWII,2020-05-14,10894.169921875,10894.169921875,10777.4599609375,10780.8798828125,3054300
^TWII,2020-05-15,10833.16015625,10904.009765625,10730.5498046875,10814.919921875,2749400
^TWII,2020-05-18,10753.2099609375,10812.8701171875,10730.7001953125,10740.5498046875,2716100
^TWII,2020-05-19,10812.7900390625,10924.7900390625,10812.7900390625,10860.4404296875,3048200
^TWII,2020-05-20,10892.759765625,10933.98046875,10860.150390625,10907.7998046875,2731300
^TWII,2020-05-21,10933.2099609375,11021.66015625,10933.2099609375,11008.3095703125,2787700
^TWII,2020-05-22,10977.5498046875,10977.5498046875,10804.5595703125,10811.150390625,2923700
^TWII,2020-05-25,10812.9404296875,10874.5400390625,10719.25,10871.1796875,2222100
^TWII,2020-05-26,10903.3203125,11046.2197265625,10903.3203125,10997.2099609375,2886300
^TWII,2020-05-27,11023.9296875,11069.7197265625,10972.25,11014.66015625,2794500
^TWII,2020-05-28,11040.6201171875,11087.5302734375,10915.2998046875,10944.1904296875,3122300
^TWII,2020-05-29,10921.16015625,10965.0302734375,10861.900390625,10942.16015625,3589800
^TWII,2020-06-01,10971.400390625,11109.2900390625,10971.400390625,11079.01953125,2655700
^TWII,2020-06-02,11109.26953125,11170.490234375,11102.9697265625,11127.9296875,2754300
^TWII,2020-06-03,11182.51953125,11330.51953125,11182.51953125,11320.16015625,3776100
^TWII,2020-06-04,11373.9404296875,11425.419921875,11341.580078125,11393.23046875,3539700
^TWII,2020-06-05,11418.009765625,11482.3603515625,11411.9404296875,11479.400390625,3400800
^TWII,2020-06-08,11539.0,11631.8896484375,11528.4404296875,11610.3203125,3822500
^TWII,2020-06-09,11600.6103515625,11640.4501953125,11537.3798828125,11637.1103515625,3023600
^TWII,2020-06-10,11635.990234375,11740.900390625,11621.01953125,11720.16015625,3477600
^TWII,2020-06-11,11738.490234375,11771.1201171875,11516.58984375,11535.76953125,4457500
^TWII,2020-06-12,11406.5400390625,11442.2998046875,11244.6396484375,11429.9404296875,3367500
^TWII,2020-06-15,11436.2802734375,11469.83984375,11299.4501953125,11306.259765625,3034000
^TWII,2020-06-16,11380.669921875,11542.25,11380.669921875,11511.6396484375,2915500
^TWII,2020-06-17,11525.5,11550.3203125,11482.3203125,11534.58984375,3138800
^TWII,2020-06-18,11534.2001953125,11567.419921875,11485.3896484375,11548.330078125,3404900
^TWII,2020-06-19,11557.26953125,11584.8798828125,11542.3701171875,11549.8603515625,4580400
^TWII,2020-06-22,11553.91015625,11632.8798828125,11553.91015625,11572.9296875,2950700
^TWII,2020-06-23,11618.419921875,11679.400390625,11530.849609375,11612.3603515625,3057500
^TWII,2020-06-24,11647.8603515625,11701.23046875,11637.7900390625,11660.669921875,2861900
^TWII,2020-06-29,11608.7998046875,11608.7998046875,11500.650390625,11542.6201171875,2922300
^TWII,2020-06-30,11563.599609375,11638.0,11563.599609375,11621.240234375,2935300
^TWII,2020-07-01,11622.6396484375,11736.3896484375,11622.6396484375,11703.419921875,2868400
^TWII,2020-07-02,11694.099609375,11805.2099609375,11690.9501953125,11805.1396484375,3060100
^TWII,2020-07-03,11857.900390625,11933.58984375,11857.900390625,11909.16015625,3536100
^TWII,2020-07-06,11941.83984375,12116.7001953125,11941.83984375,12116.7001953125,4451500
^TWII,2020-07-07,12176.7900390625,12249.9501953125,12028.5703125,12092.9697265625,4263000
^TWII,2020-07-08,12086.1298828125,12190.26953125,12083.83984375,12170.1904296875,3598500
^TWII,2020-07-09,12222.900390625,12273.4296875,12181.33984375,12192.6904296875,3882900
^TWII,2020-07-10,12250.4404296875,12253.580078125,12030.2001953125,12073.6796875,4166700
^TWII,2020-07-13,12109.6103515625,12216.240234375,12109.6103515625,12211.5595703125,3558300
^TWII,2020-07-14,12202.8896484375,12228.3095703125,12143.91015625,12209.009765625,3333000
^TWII,2020-07-15,12233.990234375,12320.48046875,12162.51953125,12202.849609375,3905800
^TWII,2020-07-16,12173.0400390625,12220.9296875,12107.0400390625,12157.740234375,3196600
^TWII,2020-07-17,12195.7197265625,12266.9296875,12144.6201171875,12181.5595703125,3396200
^TWII,2020-07-20,12205.25,12221.330078125,12065.7998046875,12174.5400390625,2819300
^TWII,2020-07-21,12242.3203125,12450.16015625,12242.3203125,12397.5498046875,3529000
^TWII,2020-07-22,12389.759765625,12486.9501953125,12389.400390625,12473.26953125,3424000
^TWII,2020-07-23,12423.01953125,12429.759765625,12347.8603515625,12413.0400390625,3426700
^TWII,2020-07-24,12467.4296875,12502.83984375,12266.5498046875,12304.0400390625,3996200
^TWII,2020-07-27,12618.6904296875,12686.3603515625,12586.91015625,12588.2998046875,3687300
^TWII,2020-07-28,12951.7197265625,13031.7001953125,12533.1904296875,12586.73046875,4457700
^TWII,2020-07-29,12530.740234375,12660.8701171875,12488.009765625,12540.9697265625,3067000
^TWII,2020-07-30,12691.8603515625,12769.4697265625,12616.830078125,12722.919921875,3244900
^TWII,2020-07-31,12653.4599609375,12733.48046875,12635.7099609375,12664.7998046875,3171700
^TWII,2020-08-03,12642.73046875,12673.01953125,12506.58984375,12513.0302734375,3391600
^TWII,2020-08-04,12577.8798828125,12709.919921875,12577.8798828125,12709.919921875,3465700
^TWII,2020-08-05,12762.33984375,12816.3896484375,12739.990234375,12802.2998046875,3917200
^TWII,2020-08-06,12894.240234375,12971.8701171875,12851.2001953125,12913.5,4098100
^TWII,2020-08-07,12901.4296875,12912.6298828125,12791.1796875,12828.8701171875,3831300
^TWII,2020-08-10,12786.7998046875,12933.16015625,12786.7998046875,12894.0,3952000
^TWII,2020-08-11,12856.4599609375,12906.009765625,12780.1904296875,12780.1904296875,3726400
^TWII,2020-08-12,12713.6298828125,12730.9599609375,12625.5400390625,12670.349609375,3440300
^TWII,2020-08-13,12758.8701171875,12812.7998046875,12717.1298828125,12763.1298828125,3631900
^TWII,2020-08-14,12709.9697265625,12801.3095703125,12679.1904296875,12795.4599609375,3896200
^TWII,2020-08-17,12813.9404296875,12956.1103515625,12800.6904296875,12956.1103515625,4310300
^TWII,2020-08-18,12974.9599609375,12981.580078125,12840.25,12872.1396484375,3911700
^TWII,2020-08-19,12904.83984375,12950.1103515625,12778.6396484375,12778.6396484375,4459400
^TWII,2020-08-20,12764.75,12764.75,12144.759765625,12362.6396484375,6063400
^TWII,2020-08-21,12462.51953125,12638.650390625,12462.51953125,12607.83984375,3778800
^TWII,2020-08-24,12629.7802734375,12702.9404296875,12567.9501953125,12647.1298828125,3397300
^TWII,2020-08-25,12706.400390625,12814.5595703125,12698.849609375,12758.25,3891600
^TWII,2020-08-26,12768.9599609375,12833.2900390625,12734.6904296875,12833.2900390625,3413200
^TWII,2020-08-27,12888.650390625,12960.6796875,12786.4501953125,12797.3095703125,4956500
^TWII,2020-08-28,12759.2998046875,12799.16015625,12674.5703125,12728.849609375,3774200
^TWII,2020-08-31,12763.4404296875,12831.3798828125,12591.4501953125,12591.4501953125,4820400
^TWII,2020-09-01,12617.3896484375,12703.2802734375,12565.830078125,12703.2802734375,4070500
^TWII,2020-09-02,12772.4296875,12802.6103515625,12646.4697265625,12699.5,3968600
^TWII,2020-09-03,12774.9697265625,12857.7900390625,12732.3203125,12757.9697265625,5711400
^TWII,2020-09-04,12645.919921875,12655.669921875,12559.7802734375,12637.9501953125,5122000
^TWII,2020-09-07,12645.9296875,12725.0498046875,12575.3603515625,12601.400390625,5406000
^TWII,2020-09-08,12637.419921875,12702.5498046875,12614.7197265625,12663.5595703125,4243200
^TWII,2020-09-09,12592.1796875,12616.5703125,12480.5,12608.580078125,4223700
^TWII,2020-09-10,12665.740234375,12708.6396484375,12650.400390625,12691.75,4738300
^TWII,2020-09-11,12697.4599609375,12701.7900390625,12616.6796875,12675.9501953125,4644800
^TWII,2020-09-14,12680.41015625,12793.0703125,12680.41015625,12787.8203125,3515300
^TWII,2020-09-15,12787.419921875,12857.73046875,12773.23046875,12845.650390625,3475900
^TWII,2020-09-16,12989.8095703125,13021.6796875,12948.7197265625,12976.759765625,3609400
^TWII,2020-09-17,12920.150390625,12972.51953125,12851.51953125,12872.740234375,3259900
